date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:53	84/84	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2015:40:53%20GMT	https://www.cs.umb.edu/robots.txt		(from )
11:40:54	25016/25016	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202019%2015:40:54%20GMT	https://www.cs.umb.edu/	/home/d/websites/umbcs2/www.cs.umb.edu/index.html	(from )
11:40:55	113878/113878	---M-Z	200	added ('OK')	text/css	etag:%221bcd6-54cb40b5da593-gzip%22	https://www.cs.umb.edu/static/bootstrap.min.css	/home/d/websites/umbcs2/www.cs.umb.edu/static/bootstrap.min.css	(from https://www.cs.umb.edu/)
11:40:56	889/889	---M-Z	200	added ('OK')	text/css	etag:%22379-54cb40b5da593-gzip%22	https://www.cs.umb.edu/static/bootstrap_carousel.css	/home/d/websites/umbcs2/www.cs.umb.edu/static/bootstrap_carousel.css	(from https://www.cs.umb.edu/)
11:40:57	18171/18171	---M-Z	200	added ('OK')	text/css	etag:%2246fb-54ec82b86e4d2-gzip%22	https://www.cs.umb.edu/static/layout/styles/layout.css	/home/d/websites/umbcs2/www.cs.umb.edu/static/layout/styles/layout.css	(from https://www.cs.umb.edu/)
11:40:58	547/547	---M-Z	200	added ('OK')	text/css	etag:%22223-54cb40b5da593-gzip%22	https://www.cs.umb.edu/static/event.css	/home/d/websites/umbcs2/www.cs.umb.edu/static/event.css	(from https://www.cs.umb.edu/)
11:40:59	21972/21972	---M-Z	200	added ('OK')	text/css	etag:%2255d4-54cb40b5de413-gzip%22	https://www.cs.umb.edu/static/layout/styles/fontawesome-4.2.0.min.css	/home/d/websites/umbcs2/www.cs.umb.edu/static/layout/styles/fontawesome-4.2.0.min.css	(from https://www.cs.umb.edu/)
11:41:00	2553/2553	---M-Z	200	added ('OK')	text/css	etag:%229f9-54cb40b5da593-gzip%22	https://www.cs.umb.edu/static/carousel.css	/home/d/websites/umbcs2/www.cs.umb.edu/static/carousel.css	(from https://www.cs.umb.edu/)
11:41:01	1426/1426	---M-Z	200	added ('OK')	text/css	etag:%22592-557e61fea2e68-gzip%22	https://www.cs.umb.edu/static/style.css	/home/d/websites/umbcs2/www.cs.umb.edu/static/style.css	(from https://www.cs.umb.edu/)
11:41:02	601/601	---M--	200	added ('OK')	image/gif	etag:%22259-54cb40b5dd473%22	https://www.cs.umb.edu/static/images/favicon.gif	/home/d/websites/umbcs2/www.cs.umb.edu/static/images/favicon.gif	(from https://www.cs.umb.edu/)
11:41:03	12561/12561	---M--	200	added ('OK')	image/png	etag:%223111-54cb40b5dd473%22	https://www.cs.umb.edu/static/images/umass_logo/logo.png	/home/d/websites/umbcs2/www.cs.umb.edu/static/images/umass_logo/logo.png	(from https://www.cs.umb.edu/)
11:41:04	22313/22313	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202019%2015:41:04%20GMT	https://www.cs.umb.edu/sp/about/contact_us/	/home/d/websites/umbcs2/www.cs.umb.edu/sp/about/contact_us/index.html	(from https://www.cs.umb.edu/)
11:41:04	52736/52736	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202019%2015:41:04%20GMT	https://www.cs.umb.edu/sp/resources/other/faqs/	/home/d/websites/umbcs2/www.cs.umb.edu/sp/resources/other/faqs/index.html	(from https://www.cs.umb.edu/)
11:41:04	92966/92966	---M--	200	added ('OK')	image/jpeg	etag:%2216b26-585ce9c167c0b%22	https://www.cs.umb.edu/media/img/mainpage/Mainpage_Spring_2019_TechTogether_3.jpeg	/home/d/websites/umbcs2/www.cs.umb.edu/media/img/mainpage/Mainpage_Spring_2019_TechTogether_3.jpg	(from https://www.cs.umb.edu/)
11:41:05	21734/21734	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202019%2015:41:05%20GMT	https://www.cs.umb.edu/sp/about/the_department/	/home/d/websites/umbcs2/www.cs.umb.edu/sp/about/the_department/index.html	(from https://www.cs.umb.edu/)
11:41:05	23412/23412	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202019%2015:41:05%20GMT	https://www.cs.umb.edu/sp/about/facilities/	/home/d/websites/umbcs2/www.cs.umb.edu/sp/about/facilities/index.html	(from https://www.cs.umb.edu/)
11:41:05	20862/20862	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202019%2015:41:05%20GMT	https://www.cs.umb.edu/sp/about/	/home/d/websites/umbcs2/www.cs.umb.edu/sp/about/index.html	(from https://www.cs.umb.edu/)
11:41:05	24881/24881	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202019%2015:41:05%20GMT	https://www.cs.umb.edu/sp/about/getting_here/	/home/d/websites/umbcs2/www.cs.umb.edu/sp/about/getting_here/index.html	(from https://www.cs.umb.edu/)
11:41:06	74536/74536	---M--	200	added ('OK')	image/jpeg	etag:%2212328-585cea4aea14a%22	https://www.cs.umb.edu/media/img/mainpage/Mainpage_Spring_2019_TechTogether_1.jpeg	/home/d/websites/umbcs2/www.cs.umb.edu/media/img/mainpage/Mainpage_Spring_2019_TechTogether_1.jpg	(from https://www.cs.umb.edu/)
11:41:07	23641/23641	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202019%2015:41:07%20GMT	https://www.cs.umb.edu/sp/getting_here/accommodations/	/home/d/websites/umbcs2/www.cs.umb.edu/sp/getting_here/accommodations/index.html	(from https://www.cs.umb.edu/)
11:41:07	20810/20810	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202019%2015:41:07%20GMT	https://www.cs.umb.edu/sp/getting_here/campus_map/	/home/d/websites/umbcs2/www.cs.umb.edu/sp/getting_here/campus_map/index.html	(from https://www.cs.umb.edu/)
11:41:07	22521/22521	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202019%2015:41:07%20GMT	https://www.cs.umb.edu/sp/academics/	/home/d/websites/umbcs2/www.cs.umb.edu/sp/academics/index.html	(from https://www.cs.umb.edu/)
11:41:07	30284/30284	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202019%2015:41:07%20GMT	https://www.cs.umb.edu/sp/getting_here/sites_attractions/	/home/d/websites/umbcs2/www.cs.umb.edu/sp/getting_here/sites_attractions/index.html	(from https://www.cs.umb.edu/)
11:41:08	116513/116513	---M--	200	added ('OK')	image/jpeg	etag:%221c721-54cfa95129996%22	https://www.cs.umb.edu/media/img/mainpage/IMG_1473.jpg	/home/d/websites/umbcs2/www.cs.umb.edu/media/img/mainpage/IMG_1473.jpg	(from https://www.cs.umb.edu/)
11:41:09	28952/28952	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202019%2015:41:09%20GMT	https://www.cs.umb.edu/sp/academics/undergraduate_programs/cs_ba/	/home/d/websites/umbcs2/www.cs.umb.edu/sp/academics/undergraduate_programs/cs_ba/index.html	(from https://www.cs.umb.edu/)
11:41:09	22449/22449	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202019%2015:41:09%20GMT	https://www.cs.umb.edu/sp/academics/student_funding/	/home/d/websites/umbcs2/www.cs.umb.edu/sp/academics/student_funding/index.html	(from https://www.cs.umb.edu/)
11:41:09	25022/25022	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202019%2015:41:09%20GMT	https://www.cs.umb.edu/sp/academics/undergraduate_programs/	/home/d/websites/umbcs2/www.cs.umb.edu/sp/academics/undergraduate_programs/index.html	(from https://www.cs.umb.edu/)
11:41:09	23861/23861	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202019%2015:41:09%20GMT	https://www.cs.umb.edu/sp/academics/admissions/	/home/d/websites/umbcs2/www.cs.umb.edu/sp/academics/admissions/index.html	(from https://www.cs.umb.edu/)
11:41:10	140993/140993	---M--	200	added ('OK')	image/jpeg	etag:%22226c1-54cfa9514dbba%22	https://www.cs.umb.edu/media/img/mainpage/IMG_1461.jpg	/home/d/websites/umbcs2/www.cs.umb.edu/media/img/mainpage/IMG_1461.jpg	(from https://www.cs.umb.edu/)
11:41:11	23215/23215	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202019%2015:41:11%20GMT	https://www.cs.umb.edu/sp/academics/graduate_programs/	/home/d/websites/umbcs2/www.cs.umb.edu/sp/academics/graduate_programs/index.html	(from https://www.cs.umb.edu/)
11:41:11	35799/35799	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202019%2015:41:11%20GMT	https://www.cs.umb.edu/sp/academics/undergraduate_programs/cs_bs/	/home/d/websites/umbcs2/www.cs.umb.edu/sp/academics/undergraduate_programs/cs_bs/index.html	(from https://www.cs.umb.edu/)
11:41:11	22236/22236	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202019%2015:41:11%20GMT	https://www.cs.umb.edu/sp/academics/cs_minor/	/home/d/websites/umbcs2/www.cs.umb.edu/sp/academics/cs_minor/index.html	(from https://www.cs.umb.edu/)
11:41:11	34075/34075	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202019%2015:41:11%20GMT	https://www.cs.umb.edu/sp/academics/undergraduate_programs/it_bs/	/home/d/websites/umbcs2/www.cs.umb.edu/sp/academics/undergraduate_programs/it_bs/index.html	(from https://www.cs.umb.edu/)
11:41:13	147648/147648	---M--	200	added ('OK')	image/jpeg	etag:%22240c0-54cfa951383f8%22	https://www.cs.umb.edu/media/img/mainpage/IMG_1030.jpg	/home/d/websites/umbcs2/www.cs.umb.edu/media/img/mainpage/IMG_1030.jpg	(from https://www.cs.umb.edu/)
11:41:13	20319/20319	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202019%2015:41:13%20GMT	https://www.cs.umb.edu/sp/academics/certificate_programs/	/home/d/websites/umbcs2/www.cs.umb.edu/sp/academics/certificate_programs/index.html	(from https://www.cs.umb.edu/)
11:41:13	26735/26735	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202019%2015:41:13%20GMT	https://www.cs.umb.edu/sp/academics/graduate_programs/cs_ms/	/home/d/websites/umbcs2/www.cs.umb.edu/sp/academics/graduate_programs/cs_ms/index.html	(from https://www.cs.umb.edu/)
